10 100 10
4 1 204439
6 3 275969
4 2 552810
3 1 114320
7 3 806513
8 5 65410
6 2 287018
10 3 62129
7 3 954844
10 2 368140
6 3 419104
9 7 874464
10 9 845256
10 6 12282
6 3 533576
9 2 882015
10 8 512778
9 8 861752
7 3 851211
10 2 442679
2 1 142357
10 9 3631
10 9 55845
10 7 432617
9 7 251521
6 1 217691
5 2 883621
10 9 445071
10 5 104076
6 2 406223
10 9 775009
10 9 271061
8 7 401787
10 1 32561
7 5 23372
2 1 902484
7 6 478148
10 9 160491
6 1 122509
8 5 124888
5 2 817873
6 1 999641
8 4 804098
4 2 858650
8 2 65860
10 8 70693
10 1 261026
10 8 572276
10 8 755791
8 3 433705
10 5 884850
5 1 398497
9 3 846989
4 2 32205
8 7 677906
5 2 837736
5 1 9217
4 2 293046
7 4 983718
6 5 829325
5 4 528416
8 6 134050
9 7 630882
7 3 403093
7 1 543964
10 5 739365
10 4 482720
7 3 297623
10 5 123539
8 1 531826
3 1 982006
10 4 786
6 3 713071
8 3 483948
7 6 705837
8 7 745627
10 2 100737
3 2 772349
9 4 470408
5 3 881861
6 5 630076
7 6 373481
10 9 349703
9 7 474950
10 5 833206
7 2 551341
9 3 823681
7 5 913267
4 3 66469
2 1 329492
7 3 214227
9 5 102041
6 4 947913
10 7 46933
10 6 754635
6 2 825390
7 1 789464
5 1 567933
6 2 282455
7 3 905071
